Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018
01.01.2020,6,7,2
02.01.2020,7,6,3
03.01.2020,4,3,1
04.01.2020,5,2,2
05.01.2020,3,1,1
06.01.2020,5,1,3
07.01.2020,6,5,1
08.01.2020,4,5,3
13.10.2020,6,1,2,2
14.10.2020,7,1,4,0
15.10.2020,3,6,7,2
16.10.2020,2,4,8,3
17.10.2020,3,5,5,2
18.10.2020,0,3,4,1
19.10.2020,3,4,9,1
20.10.2020,4,7,4,5
21.10.2020,4,8,4,1
22.10.2020,4,3,2,0
23.10.2020,2,2,7,4
24.10.2020,7,5,3,1
25.10.2020,2,2,8,2
26.10.2020,7,4,3,1
27.10.2020,7,1,3,3
28.10.2020,9,3,6,1
29.10.2020,8,6,7,2
30.10.2020,2,6,10,2
31.10.2020,5,2,2,0
01.11.2020,3,3,4,2
02.11.2020,1,4,5,1
03.11.2020,6,3,5,1
04.11.2020,1,3,8,3
05.11.2020,8,2,2,2
06.11.2020,2,3,5,1
07.11.2020,2,4,3,0
08.11.2020,2,1,3,1
09.11.2020,3,4,3,6
10.11.2020,6,4,1,1
11.11.2020,2,4,8,1
12.11.2020,3,4,5,1
13.11.2020,1,5,4,1
14.11.2020,0,3,3,0
15.11.2020,9,6,3,3
16.11.2020,6,-1,6,-1
17.11.2020,11,6,-1,3
18.11.2020,8,7,4,3
19.11.2020,-1,4,4,0
20.11.2020,8,6,-1,-1
21.11.2020,-1,5,3,0
22.11.2020,11,4,4,2
23.11.2020,12,4,5,0
24.11.2020,14,2,4,4
25.11.2020,12,6,5,1
26.11.2020,8,3,7,1
27.11.2020,10,7,5,2
28.11.2020,7,2,2,2
29.11.2020,4,3,2,4
30.11.2020,7,6,6,1
01.12.2020,7,3,7,2
02.12.2020,8,3,3,4
03.12.2020,5,5,3,0
04.12.2020,11,4,9,2
05.12.2020,5,3,2,0
06.12.2020,1,5,4,1
07.12.2020,7,4,6,3
08.12.2020,12,3,4,4
09.12.2020,9,2,4,3
10.12.2020,5,3,1,3
11.12.2020,6,2,3,1
12.12.2020,7,2,3,1
13.12.2020,8,3,4,3
14.12.2020,4,4,1,2
15.12.2020,8,4,7,0
16.12.2020,8,6,7,0
17.12.2020,9,3,4,6
18.12.2020,2,3,5,1
19.12.2020,8,8,5,1
20.12.2020,11,3,7,2
21.12.2020,10,8,8,1
22.12.2020,4,6,4,4
23.12.2020,5,4,9,1
24.12.2020,4,4,3,0
25.12.2020,9,3,4,3
26.12.2020,2,3,3,1
27.12.2020,6,8,8,1
28.12.2020,7,3,6,3
29.12.2020,5,5,7,0
30.12.2020,5,3,8,0
31.12.2020,10,6,5,0
01.01.2021,4,6,7,2
02.01.2021,5,7,6,3
03.01.2021,1,4,3,1
04.01.2021,5,5,2,2
05.01.2021,3,3,1,1
06.01.2021,8,5,1,3
07.01.2021,5,6,5,1
08.01.2021,2,4,5,3
09.01.2021,5,7,10,0
10.01.2021,4,5,6,3
11.01.2021,3,8,10,3
12.01.2021,4,6,6,4
13.01.2021,9,6,5,1
14.01.2021,3,3,5,3
15.01.2021,3,7,3,4
16.01.2021,0,10,7,3
17.01.2021,1,4,9,2
18.01.2021,7,3,5,4
19.01.2021,3,10,5,1
20.01.2021,7,6,6,1
21.01.2021,1,3,7,2
22.01.2021,0,4,10,1
